measure_name,state_name,subpopulation,value,source
Cancer,Vermont,,7,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,New York,,7,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,Connecticut,,7,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,Wyoming,,8,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,Delaware,,8,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,Alabama,,8,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,Michigan,,8,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,South Dakota,,8,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,Wisconsin,,8,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,Nebraska,,8,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,Virginia,,8,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,Arkansas,,8,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,Iowa,,8,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,New Jersey,,8,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,Illinois,,8,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,New Hampshire,,8,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,Montana,,8,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,Montana,,8,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,Utah,,8,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,United States,,8,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,Rhode Island,,8,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,District of Columbia,,8,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,Minnesota,,8,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,Rhode Island,,8,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,Alaska,,8,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,Arizona,,8,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,Oregon,,8,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,West Virginia,,8,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,Oregon,,8,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,Massachusetts,,8,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,Idaho,,8,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,Montana,,8,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,South Carolina,,8,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,New Mexico,,8,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,Maryland,,8,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,Missouri,,8,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,Pennsylvania,,8,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,New York,,8,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,Florida,,8,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,Vermont,,8,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,Kansas,,8,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,Texas,,8,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,North Dakota,,8,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,Kentucky,,8,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,Tennessee,,8,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,Washington,,8,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,North Dakota,,9,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,New Hampshire,,9,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,Wyoming,,9,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,Wisconsin,,9,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,Georgia,,9,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,Massachusetts,,9,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,Utah,,9,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,South Dakota,,9,"CDC, Behavioral Risk Factor Surveillance System"
Cancer,Maine,,9,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,Delaware,,9,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,Nevada,,9,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,Vermont,,9,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,Maine,,10,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,Idaho,,10,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,Pennsylvania,,10,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,South Carolina,,10,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,Indiana,,10,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,North Carolina,,10,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,Washington,,10,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,Florida,,10,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,Michigan,,10,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,Missouri,,10,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,California,,10,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,Ohio,,10,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,Iowa,,10,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,South Dakota,,10,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,Nebraska,,10,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,Rhode Island,,10,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,Connecticut,,10,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,Oregon,,10,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,Arizona,,11,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,New York,,11,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,California,,11,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,United States,,11,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,Illinois,,11,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,Missouri,,11,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,Hawaii,,11,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,Kansas,,11,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,Mississippi,,11,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,Oklahoma,,11,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,Pennsylvania,,11,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,Virginia,,11,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,Nevada,,11,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,Maryland,,11,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,Maine,,11,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,New Jersey,,11,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,Michigan,,11,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,Louisiana,,11,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,Texas,,12,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,Ohio,,12,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,Kentucky,,12,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,Connecticut,,12,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,Arkansas,,12,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,Oklahoma,,12,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,Georgia,,12,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,Delaware,,12,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,Florida,,12,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,New Mexico,,12,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,North Carolina,,12,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,Tennessee,,12,"CDC, Behavioral Risk Factor Surveillance System"
Depression,Hawaii,,12,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,Alabama,,12,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,Utah,,12,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,Indiana,,12,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,South Carolina,,13,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,Washington,,13,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,Massachusetts,,13,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,Louisiana,,13,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,West Virginia,,13,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,Arkansas,,13,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,Kentucky,,13,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,Hawaii,,13,"CDC, Behavioral Risk Factor Surveillance System"
Depression,New Jersey,,13,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,New York,,13,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,New Jersey,,13,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,Maryland,,13,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,Oklahoma,,14,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,Tennessee,,14,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,Rhode Island,,14,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,Mississippi,,14,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,Alabama,,14,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,Colorado,,14,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,District of Columbia,,14,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,Alabama,,14,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,Mississippi,,14,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,Maryland,,15,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,Oregon,,15,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,Texas,,15,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,Arizona,,15,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,Minnesota,,15,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,Illinois,,15,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,Virginia,,15,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,Florida,,15,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,Vermont,,15,"CDC, Behavioral Risk Factor Surveillance System"
Cardiovascular Diseases,West Virginia,,15,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,Tennessee,,15,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,Nebraska,,15,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,Idaho,,15,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,Delaware,,16,"CDC, Behavioral Risk Factor Surveillance System"
Depression,California,,16,"CDC, Behavioral Risk Factor Surveillance System"
Depression,Connecticut,,16,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,North Carolina,,16,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,Arkansas,,16,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,United States,,16,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,New Mexico,,16,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,Nevada,,16,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,Georgia,,16,"CDC, Behavioral Risk Factor Surveillance System"
Depression,Maryland,,16,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,New Mexico,,16,"CDC, Behavioral Risk Factor Surveillance System"
Depression,Nevada,,16,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,New Hampshire,,16,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,Wisconsin,,16,"CDC, Behavioral Risk Factor Surveillance System"
Depression,New York,,16,"CDC, Behavioral Risk Factor Surveillance System"
Diabetes,West Virginia,,16,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,New Jersey,,17,"CDC, Behavioral Risk Factor Surveillance System"
Depression,Georgia,,17,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,Indiana,,17,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,Washington,,17,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,Arizona,,17,"CDC, Behavioral Risk Factor Surveillance System"
Depression,South Dakota,,17,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,Kentucky,,17,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,Montana,,17,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,Kansas,,17,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,Virginia,,17,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,Iowa,,17,"CDC, Behavioral Risk Factor Surveillance System"
Depression,Colorado,,17,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,Idaho,,17,"CDC, Behavioral Risk Factor Surveillance System"
Depression,Florida,,17,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,Georgia,,17,"CDC, Behavioral Risk Factor Surveillance System"
Depression,Texas,,17,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,South Carolina,,18,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,Pennsylvania,,18,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,Kansas,,18,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,North Dakota,,18,"CDC, Behavioral Risk Factor Surveillance System"
Depression,District of Columbia,,18,"CDC, Behavioral Risk Factor Surveillance System"
Depression,Delaware,,18,"CDC, Behavioral Risk Factor Surveillance System"
Depression,Iowa,,18,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,California,,18,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,North Carolina,,18,"CDC, Behavioral Risk Factor Surveillance System"
Depression,Massachusetts,,18,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,New York,,18,"CDC, Behavioral Risk Factor Surveillance System"
Depression,Virginia,,18,"CDC, Behavioral Risk Factor Surveillance System"
Depression,Arizona,,18,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,Nevada,,18,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,Colorado,,18,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,United States,,18,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,Maine,,18,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,South Carolina,,18,"CDC, Behavioral Risk Factor Surveillance System"
Depression,Illinois,,18,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,Florida,,18,"CDC, Behavioral Risk Factor Surveillance System"
Depression,Nebraska,,18,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,Delaware,,18,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,Connecticut,,18,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,Oregon,,19,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,Michigan,,19,"CDC, Behavioral Risk Factor Surveillance System"
Depression,North Dakota,,19,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,Texas,,19,"CDC, Behavioral Risk Factor Surveillance System"
Depression,Minnesota,,19,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,Utah,,19,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,Ohio,,19,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,Wyoming,,19,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,South Dakota,,19,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,Michigan,,19,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,Rhode Island,,19,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,Washington,,19,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,Missouri,,19,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,Alaska,,19,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,Alaska,,19,"CDC, Behavioral Risk Factor Surveillance System"
Depression,New Mexico,,19,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,Pennsylvania,,19,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,New Hampshire,,19,"CDC, Behavioral Risk Factor Surveillance System"
Depression,Alaska,,19,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,Wyoming,,19,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,Colorado,,20,"CDC, Behavioral Risk Factor Surveillance System"
Depression,United States,,20,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,Vermont,,20,"CDC, Behavioral Risk Factor Surveillance System"
Depression,Kansas,,20,"CDC, Behavioral Risk Factor Surveillance System"
Depression,Pennsylvania,,20,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,Oklahoma,,20,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,Alabama,,20,"CDC, Behavioral Risk Factor Surveillance System"
Depression,Wisconsin,,20,"CDC, Behavioral Risk Factor Surveillance System"
Depression,Wyoming,,20,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,Vermont,,20,"CDC, Behavioral Risk Factor Surveillance System"
Depression,South Carolina,,20,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,Maine,,20,"CDC, Behavioral Risk Factor Surveillance System"
Depression,North Carolina,,20,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,Louisiana,,20,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,Missouri,,20,"CDC, Behavioral Risk Factor Surveillance System"
Depression,Mississippi,,21,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,Tennessee,,21,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,Indiana,,21,"CDC, Behavioral Risk Factor Surveillance System"
Depression,Indiana,,21,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,Alaska,,21,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,Mississippi,,21,"CDC, Behavioral Risk Factor Surveillance System"
Depression,Idaho,,21,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,Illinois,,21,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,District of Columbia,,21,"CDC, Behavioral Risk Factor Surveillance System"
Depression,Ohio,,21,"CDC, Behavioral Risk Factor Surveillance System"
Depression,New Hampshire,,21,"CDC, Behavioral Risk Factor Surveillance System"
Depression,Rhode Island,,21,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,Ohio,,21,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,California,,21,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,Montana,,21,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,Hawaii,,21,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,Wisconsin,,22,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,Minnesota,,22,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,Hawaii,,22,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,Louisiana,,22,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,Massachusetts,,22,"CDC, Behavioral Risk Factor Surveillance System"
Depression,Montana,,22,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,Nebraska,,22,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,Montana,,22,"CDC, Behavioral Risk Factor Surveillance System"
Depression,Missouri,,22,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,Oregon,,22,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,South Dakota,,22,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,New Hampshire,,22,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,Minnesota,,22,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,Arkansas,,22,"CDC, Behavioral Risk Factor Surveillance System"
Depression,Utah,,23,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,Connecticut,,23,"CDC, Behavioral Risk Factor Surveillance System"
Depression,Vermont,,23,"CDC, Behavioral Risk Factor Surveillance System"
Depression,Oklahoma,,23,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,North Dakota,,23,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,Iowa,,23,"CDC, Behavioral Risk Factor Surveillance System"
Depression,Michigan,,23,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,Idaho,,23,"CDC, Behavioral Risk Factor Surveillance System"
Depression,Louisiana,,23,"CDC, Behavioral Risk Factor Surveillance System"
Depression,Washington,,24,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,Arizona,,24,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,Kentucky,,24,"CDC, Behavioral Risk Factor Surveillance System"
Depression,Maine,,24,"CDC, Behavioral Risk Factor Surveillance System"
Depression,Alabama,,24,"CDC, Behavioral Risk Factor Surveillance System"
Depression,Arkansas,,24,"CDC, Behavioral Risk Factor Surveillance System"
Depression,Tennessee,,24,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,Maryland,,24,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,New Mexico,,24,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,Massachusetts,,24,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,Wisconsin,,24,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,Wyoming,,24,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,Virginia,,24,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,North Carolina,,25,"CDC, Behavioral Risk Factor Surveillance System"
Depression,Oregon,,25,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,Nebraska,,25,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,Pennsylvania,,25,"CDC, Behavioral Risk Factor Surveillance System"
Smoking,West Virginia,,25,"CDC, Behavioral Risk Factor Surveillance System"
Depression,Kentucky,,25,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,United States,,25,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,Illinois,,25,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,Iowa,,25,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,New York,,26,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,Michigan,,26,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,Maine,,26,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,Kansas,,26,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,Rhode Island,,26,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,South Dakota,,26,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,Nevada,,26,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,North Dakota,,26,"CDC, Behavioral Risk Factor Surveillance System"
Depression,West Virginia,,27,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,Texas,,28,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,Missouri,,28,"CDC, Behavioral Risk Factor Surveillance System"
Excessive Drinking,District of Columbia,,28,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,Georgia,,28,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,Delaware,,28,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,South Carolina,,28,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,Ohio,,28,"CDC, Behavioral Risk Factor Surveillance System"
Physical Inactivity,Florida,,28,"CDC, Behavioral Risk Factor Surveillance System"
